"action","keyword","token","upos","xpos","n_docs"
"x","'s","'s","PART,AUX","POS,VBZ",1024
"x","10p","10p","NOUN","NN",21
"x","10q","10q,10q.","NOUN","NN",122
"x","11p","11p","NOUN","NN",58
"x","11q","11q","NOUN","NN",157
"x","12Z",",12Z","PROPN,X,NOUN,INTJ","NNP,FW,NN,UH",22
"x","12p13","12p13,12p13.","NUM,NOUN","CD,NN",40
"x","12q","12q","NOUN","NN",151
"x","13q","13q,13q.","NOUN","NN",66
"x","14Z",",14Z,14Z","PROPN,NOUN,X","NNP,NN,FW",31
"x","14q","14q","NOUN","NN",112
"x","15q","15q","NOUN","NN",122
"x","16p","16p","NOUN","NN",46
"x","16q","16q","NOUN","NN",71
"x","17p","17p","NOUN","NN",47
"x","17q","17q","NOUN","NN",187
"x","18S","18S","PROPN,VERB,NOUN,X","NNP,VB,NN,NNS,GW",52
"x","18q","18q","NOUN","NN",45
"x","19S","19S","NOUN,PROPN","NN,NNS,NNP",41
"x","19p13","19p13.,19p13","NOUN,NUM","NN,CD",44
"x","19q","19q,19q.","NOUN","NN",131
"x","1B","1B","NUM,NOUN,PROPN","CD,NN,NNP",37
"x","1D","1D","NOUN,VERB,PROPN,AUX","NN,VB,NNP,MD,NNS",205
"x","1H","1H","INTJ,NOUN,X,PROPN,ADJ,DET","UH,NN,GW,NNP,JJ,DT",36
"x","1p31","1p31","NUM","CD",21
"x","1p34","1p34","NUM","CD",25
"x","1p36","1p36","NUM","CD",51
"x","1q","1q,1q.","NOUN","NN,NNS",152
"x","1q42","1q42.,1q42","NOUN,NUM","NN,CD",21
"x","1st","1st","ADJ,NOUN","JJ,NN,JJS",25
"x","20S","20S","NOUN,PROPN","NN,NNP,NNS",94
"x","20p","20p","VERB,NOUN","VB,NN",46
"x","20q","20q","NOUN","NN",78
"x","21q","21q","NOUN","NN",38
"x","22q","22q","NOUN","NN",121
"x","23S","23S","PROPN,NOUN","NNP,NN",24
"x","25th","25th","ADJ,PROPN","JJ,NNP",33
"x","26S","26S","NOUN,PROPN","NN,NNS,NNP",56
"x","27th","27th","ADJ,NOUN,PROPN","JJ,NN,NNP",87
"x","28S","28S","ADJ,PROPN,NOUN,X","JJ,NNP,NN,NNS,GW",138
"x","2B","2B","NUM,NOUN,PROPN","CD,NN,NNP",36
"x","2E","2E","PROPN,NOUN,X,PRON","NNP,NN,GW",46
"x","2H","2H","ADJ,NOUN,PROPN,DET,X","JJ,NN,NNP,DT,GW",22
"x","2R","2R,,2R","NOUN,ADJ,PROPN,VERB","NN,JJR,NNP,VB",39
"x","2S","2S,,2S","PROPN,AUX,NOUN,VERB,INTJ","NNP,VBZ,NN,VB,UH,NNS",92
"x","2nd","2nd","ADJ,NOUN","JJ,NN",89
"x","2p","2p","NOUN","NN",41
"x","2q","2q","NOUN","NN",168
"x","39S","39S","NOUN,ADJ,PROPN","NN,JJ,NNP",120
"x","3B","3B","VERB,NOUN,NUM,PROPN,X","VB,NN,CD,NNP,GW",20
"x","3D","3D","NOUN,PROPN","NN,NNP",22
"x","3H","3H","DET,INTJ,NOUN","DT,UH,NN",21
"x","3R","3R","ADJ,PROPN,VERB,NOUN,X","JJR,NNP,VB,NN,GW",34
"x","3S","3S,,3S","NOUN,PROPN","NN,NNS,NNP",42
"x","3p21","3p21","NUM","CD",30
"x","3q","3q,3q.","NOUN","NN,NNS",102
"x","3rd","3rd","ADJ","JJ",103
"x","40S","40S","NOUN,PROPN,VERB,X,ADJ","NNS,NN,NNP,VB,GW,JJ",139
"x","45S","45S","PROPN,VERB,X,NOUN","NNP,VBZ,GW,NNS,NN",95
"x","4S","4S,,4S","PROPN,NOUN,INTJ,X,ADJ","NNP,NN,NNS,UH,GW,ADD,JJ",63
"x","4p","4p","INTJ,NOUN","UH,NN",47
"x","4q","4q,4q.","NOUN","NN",111
"x","4th","4th","ADJ,NOUN","JJ,NN",118
"x","5.8S","5.8S","NOUN,PROPN,AUX,ADJ,VERB","NN,NNP,VBZ,JJ,NNS,VB",48
"x","5S","5S,,5S","PROPN,AUX,NOUN,ADJ,INTJ,VERB","NNP,VBZ,NN,JJ,UH,VB,NNS",70
"x","5Z","5Z","X,PROPN,NOUN","FW,NNP,NN",30
"x","5p","5p","NOUN","NN",21
"x","5q","5q,5q.","NOUN","NN",132
"x","5th","5th","ADJ,NOUN","JJ,NN",133
"x","60S","60S","NOUN,PROPN,VERB,ADJ","NN,NNS,NNP,VBZ,JJ",144
"x","6S","6S,,6S","INTJ,AUX,PROPN,NOUN","UH,VBZ,NNP,NNS,NN",23
"x","6p21","6p21","NUM","CD",36
"x","6p22","6p22,6p22.","NUM,NOUN","CD,NN",34
"x","6q","6q","NOUN","NN",93
"x","6th","6th","NOUN","NN",98
"x","7p","7p","NOUN","NN",30
"x","7q","7q","NOUN","NN",113
"x","8p23","8p23,8p23.","NUM,NOUN","CD,NN",21
"x","8q","8q,8q.","NOUN","NN,NNS",73
"x","9Z","9Z,,9Z","INTJ,NOUN,PROPN,X","UH,NN,NNP,FW",25
"x","9beta","9beta","NOUN,ADP,INTJ","NN,IN,UH",24
"x","9q","9q,9q.","NOUN","NN",95
"x","A1","A1","PROPN,NUM,X,NOUN","NNP,CD,ADD,NN,GW",135
"x","A2","A2","NOUN,NUM,PROPN,X,PART","NN,CD,NNP,ADD,TO,LS",156
"x","A3","A3","NOUN,NUM,PROPN,X","NN,CD,NNP,LS",43
